time;temp;wind;pressure;humidity
morning2024-05-28;12.98;5.88;770.1279999999999;78.83
day2024-05-28;19.68;7.2;768.858;53.5
evening2024-05-28;23.88;10.75;766.826;45.5
night2024-05-28;19.32;8.17;765.81;70.83
morning2024-05-29;15.5;5.4;765.5559999999999;87.17
day2024-05-29;22.17;5.88;764.54;58.33
evening2024-05-29;24.47;4.4;763.016;47.33
night2024-05-29;19.88;7.1;762.5079999999999;69.17
morning2024-05-30;16.85;7.08;762.254;86.5
day2024-05-30;20.33;8.6;762.5079999999999;61.67
evening2024-05-30;24.68;10.8;761.7459999999999;37.17
night2024-05-30;19.18;7.62;762.0;68.33
morning2024-05-31;16.15;7.13;762.5079999999999;77.5
day2024-05-31;21.57;13.97;762.254;56.17
evening2024-05-31;25.63;15.85;761.492;47.67
night2024-05-31;20.5;10.55;761.2379999999999;72.33
morning2024-06-01;16.7;8.25;761.2379999999999;89.0
day2024-06-01;19.7;11.65;761.492;76.0
evening2024-06-01;22.0;13.5;761.7459999999999;69.0
night2024-06-01;19.0;10.43;762.762;81.5
morning2024-06-02;16.93;8.55;763.5239999999999;88.33
day2024-06-02;23.38;10.73;763.5239999999999;60.0
evening2024-06-02;26.7;15.1;763.016;46.83
night2024-06-02;21.23;9.83;762.762;73.0
morning2024-06-03;18.22;9.83;762.5079999999999;91.0
day2024-06-03;22.72;11.93;762.5079999999999;67.83
evening2024-06-03;24.93;11.42;762.0;50.67
night2024-06-03;20.25;6.9;762.254;63.5
morning2024-06-04;17.25;3.73;762.254;72.67
day2024-06-04;22.88;6.62;761.492;53.83
evening2024-06-04;24.65;9.85;760.222;49.0
night2024-06-04;19.37;10.03;759.4599999999999;81.0
morning2024-06-05;16.38;10.8;758.698;91.83
day2024-06-05;18.85;11.7;757.6819999999999;83.67
evening2024-06-05;21.58;15.05;756.6659999999999;70.0
night2024-06-05;17.22;11.2;757.6819999999999;85.83
morning2024-06-06;14.82;9.32;758.9519999999999;87.33
day2024-06-06;21.2;10.92;759.7139999999999;58.5
evening2024-06-06;24.6;12.6;759.7139999999999;45.0
night2024-06-06;20.05;8.63;760.222;67.5
